Rank in 2020,Rank in 2019,Institution Name,Country,Overall Score
1,1,Massachusetts Institute of Technology (MIT),United States,100
2,2,Stanford University,United States,98.4
3,3,Harvard University,United States,97.4
4,5,University of Oxford,United Kingdom,97.2
5,4,California Institute of Technology (Caltech),United States,96.9
6,7,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,95.9
7,6,University of Cambridge,United Kingdom,95
8,10,UCL (University College London),United Kingdom,94.8
9,8,Imperial College London,United Kingdom,94.1
10,9,University of Chicago,United States,92
11,12,Nanyang Technological University (NTU),Singapore,91.8
11,11,National University of Singapore (NUS),Singapore,91.8
13,13,Princeton University,United States,90.9
14,14,Cornell University,United States,89.3
15,19,University of Pennsylvania,United States,88.9
16,17,Tsinghua University,China,88.6
17,15,Yale University,United States,87.7
18,16,Columbia University,United States,87.4
18,22,Ecole Polytechnique F�d�rale de Lausanne (EPFL),Switzerland,87.4
20,18,University of Edinburgh,United Kingdom,86.2
21,20,University of Michigan,United States,86
22,30,Peking University,China,84.3
22,23,The University of Tokyo,Japan,84.3
24,21,Johns Hopkins University,United States,83.9
25,26,Duke University,United States,83.8
25,25,University of Hong Kong (HKU),Hong Kong,83.8
27,29,The University of Manchester,United Kingdom,82.7
28,27,"University of California, Berkeley (UCB)",United States,82.6
29,24,Australian National University (ANU),Australia,82.1
29,28,University of Toronto,Canada,82.1
31,34,Northwestern University,United States,81.5
32,37,The Hong Kong University of Science and Technology (HKUST),Hong Kong,80.6
33,31,King's College London (KCL),United Kingdom,80.5
33,35,Kyoto University,Japan,80.5
35,33,McGill University,Canada,80.4
35,32,"University of California, Los Angeles (UCLA)",United States,80.4
37,36,Seoul National University (SNU),South Korea,79.6
38,39,The University of Melbourne,Australia,79.5
39,43,New York University (NYU),United States,78.8
40,44,Fudan University,China,78.6
41,40,KAIST - Korea Advanced Institute of Science and Technology,South Korea,77.9
42,42,The University of Sydney,Australia,77.8
43,45,The University of New South Wales (UNSW),Australia,77.1
44,38,London School of Economics and Political Science (LSE),United Kingdom,77
45,41,"University of California, San Diego (UCSD)",United States,76.6
46,49,The Chinese University of Hong Kong (CUHK),Hong Kong,75.9
47,48,The University of Queensland (UQ),Australia,75.7
48,46,Carnegie Mellon University,United States,74.8
49,51,University of Bristol,United Kingdom,74.5
50,52,Delft University of Technology,Netherlands,74.2
51,47,University of British Columbia,Canada,74.1
52,55,City University of Hong Kong,Hong Kong,73.6
53,50,Universit� PSL (Paris Sciences & Lettres),France,73.4
54,68,Zhejiang University,China,72.4
55,61,Technische Universit�t M�nchen,Germany,72.3
56,53,University of Wisconsin-Madison,United States,71.8
57,56,Brown University,United States,71.5
58,59,Monash University,Australia,70.9
58,58,Tokyo Institute of Technology,Japan,70.9
60,65,Ecole Polytechnique,France,70.5
60,59,Shanghai Jiao Tong University,China,70.5
62,54,The University of Warwick,United Kingdom,70.4
63,62,Ludwig-Maximilians-Universit�t M�nchen,Germany,69.6
64,57,University of Amsterdam,Netherlands,69
65,63,University of Texas at Austin,United States,68.6
66,64,Ruprecht-Karls-Universit�t Heidelberg,Germany,68.4
67,69,University of Glasgow,United Kingdom,68.2
68,66,University of Washington,United States,67.9
69,72,National Taiwan University (NTU),Taiwan,67.3
70,87,Universiti Malaya (UM),Malaysia,67.1
71,67,Osaka University,Japan,66.5
72,69,Georgia Institute of Technology (Georgia Tech),United States,66.2
74,73,Universidad de Buenos Aires,Argentina,66
75,71,University of Illinois at Urbana-Champaign,United States,65.9
76,78,University of Zurich,Switzerland,65.8
77,75,Sorbonne University,France,64.9
78,74,Durham University,United Kingdom,64.2
78,75,The University of Sheffield,United Kingdom,64.2
80,81,Katholieke Universiteit Leuven,Belgium,64.1
81,79,University of Birmingham,United Kingdom,64
81,79,University of Copenhagen,Denmark,63.8
82,77,Tohoku University,Japan,63.7
83,86,Korea University,South Korea,63.4
83,85,The University of Auckland,New Zealand,63.4
84,90,Lomonosov Moscow State University,Russia,63.2
85,87,Rice University,United States,63.1
86,91,The University of Western Australia (UWA),Australia,62.9
87,83,Pohang University of Science and Technology (POSTECH),South Korea,62.6
89,98,University of Science and Technology of China,China,62.3
90,83,"University of North Carolina, Chapel Hill",United States,62.2
91,106,The Hong Kong Polytechnic University,Hong Kong,61.9
92,92,Lund University,Sweden,61.8
93,95,Pennsylvania State University,United States,61.7
93,93,University of Leeds,United Kingdom,61.7
95,100,Sungkyunkwan University,South Korea,61
96,82,The University of Nottingham,United Kingdom,60.8
97,96,University of Southampton,United Kingdom,60.6
